Season,G#,Team,Opp,Spread,Over/Under,Result,vs. Line,OU Result
2014,1,CRD,SDG,-3.0,45.0,"W, 18-17",Lost,Under
2014,2,CRD,@NYG,-2.0,42.5,"W, 25-14",Won,Under
2014,3,CRD,SFO,3.0,42.0,"W, 23-14",Won,Under
2014,4,CRD,@DEN,7.5,48.0,"L, 20-41",Lost,Over
2014,5,CRD,WAS,-5.5,47.0,"W, 30-20",Won,Over
2014,6,CRD,@OAK,-3.5,46.5,"W, 24-13",Won,Under
2014,7,CRD,PHI,1.0,48.5,"W, 24-20",Won,Under
2014,8,CRD,@DAL,1.5,45.0,"W, 28-17",Won,Push
2014,9,CRD,STL,-7.0,43.0,"W, 31-14",Won,Over
2014,10,CRD,DET,-1.0,41.0,"W, 14-6",Won,Under
2014,11,CRD,@SEA,7.0,41.5,"L, 3-19",Lost,Under
2014,12,CRD,@ATL,-1.5,45.0,"L, 18-29",Lost,Over
2014,13,CRD,KAN,2.5,41.0,"W, 17-14",Won,Under
2014,14,CRD,@STL,4.5,40.5,"W, 12-6",Won,Under
2014,15,CRD,SEA,9.0,36.0,"L, 6-35",Lost,Over
2014,16,CRD,@SFO,6.5,37.5,"L, 17-20",Won,Under
2014,17,CRD,@CAR,6.5,37.5,"L, 16-27",Lost,Over
2014,1,ATL,NOR,3.0,51.5,"W, 37-34",Won,Over
2014,2,ATL,@CIN,6.0,49.0,"L, 10-24",Lost,Under
2014,3,ATL,TAM,-6.0,46.0,"W, 56-14",Won,Over
2014,4,ATL,@MIN,-3.0,47.0,"L, 28-41",Lost,Over
2014,5,ATL,@NYG,4.0,50.0,"L, 20-30",Lost,Push
2014,6,ATL,CHI,-3.5,55.5,"L, 13-27",Lost,Under
2014,7,ATL,@BAL,6.5,49.5,"L, 7-29",Lost,Under
2014,8,ATL,DET,3.5,45.5,"L, 21-22",Won,Under
2014,9,ATL,@TAM,-3.0,47.0,"W, 27-17",Won,Under
2014,10,ATL,@CAR,-1.5,47.0,"W, 19-17",Won,Under
2014,11,ATL,CLE,-2.5,48.5,"L, 24-26",Lost,Over
2014,12,ATL,ARI,1.5,45.0,"W, 29-18",Won,Over
2014,13,ATL,@GNB,13.5,54.5,"L, 37-43",Won,Over
2014,14,ATL,PIT,3.0,55.0,"L, 20-27",Lost,Under
2014,15,ATL,@NOR,6.0,56.5,"W, 30-14",Won,Under
2014,16,ATL,CAR,-3.0,48.0,"L, 3-34",Lost,Under
2014,1,RAV,CIN,-2.0,43.0,"L, 16-23",Lost,Under
2014,2,RAV,PIT,-2.5,44.0,"W, 26-6",Won,Under
2014,3,RAV,@CLE,-2.0,41.5,"W, 23-21",Push,Over
2014,4,RAV,CAR,-3.0,42.0,"W, 38-10",Won,Over
2014,5,RAV,@IND,3.0,49.0,"L, 13-20",Lost,Under
2014,6,RAV,@TAM,-3.0,44.0,"W, 48-17",Won,Over
2014,7,RAV,ATL,-6.5,49.5,"W, 29-7",Won,Under
2014,8,RAV,@CIN,-3.0,44.5,"L, 24-27",Lost,Over
2014,9,RAV,@PIT,2.5,47.5,"L, 23-43",Lost,Over
2014,10,RAV,TEN,-10.5,44.5,"W, 21-7",Won,Under
2014,11,RAV,@NOR,3.0,51.0,"W, 34-27",Won,Over
2014,12,RAV,SDG,-6.5,45.5,"L, 33-34",Lost,Over
2014,13,RAV,@MIA,3.0,45.0,"W, 28-13",Won,Under
2014,14,RAV,JAX,-13.5,45.0,"W, 20-12",Lost,Under
2014,15,RAV,@HOU,-6.5,42.0,"L, 13-25",Lost,Under
2014,16,RAV,CLE,-13.5,39.5,"W, 20-10",Lost,Under
2014,17,RAV,@PIT,3.0,45.0,"W, 30-17",Won,Over
2014,18,RAV,@NWE,7.0,47.5,"L, 31-35",Won,Over
2014,1,BUF,@CHI,7.0,47.0,"W, 23-20",Won,Under
2014,2,BUF,MIA,-1.5,42.5,"W, 29-10",Won,Under
2014,3,BUF,SDG,-2.5,45.5,"L, 10-22",Lost,Under
2014,4,BUF,@HOU,3.0,42.5,"L, 17-23",Lost,Under
2014,5,BUF,@DET,6.5,43.0,"W, 17-14",Won,Under
2014,6,BUF,NWE,-1.0,44.0,"L, 22-37",Lost,Over
2014,7,BUF,MIN,-6.5,43.5,"W, 17-16",Lost,Under
2014,8,BUF,@NYJ,3.0,40.5,"W, 43-23",Won,Over
2014,9,BUF,KAN,-1.5,42.0,"L, 13-17",Lost,Under
2014,10,BUF,@MIA,5.0,42.0,"L, 9-22",Lost,Under
2014,11,BUF,NYJ,-2.5,42.5,"W, 38-3",Won,Under
2014,12,BUF,CLE,-3.0,42.0,"W, 26-10",Won,Under
2014,13,BUF,@DEN,9.5,47.5,"L, 17-24",Won,Under
2014,14,BUF,GNB,4.0,50.0,"W, 21-13",Won,Under
2014,15,BUF,@OAK,-6.5,42.0,"L, 24-26",Lost,Over
2014,16,BUF,@NWE,6.5,44.0,"W, 17-9",Won,Under
2014,1,CAR,@TAM,2.5,39.5,"W, 20-14",Won,Under
2014,2,CAR,DET,-2.5,44.0,"W, 24-7",Won,Under
2014,3,CAR,PIT,-3.0,42.0,"L, 19-37",Lost,Over
2014,4,CAR,@BAL,3.0,42.0,"L, 10-38",Lost,Over
2014,5,CAR,CHI,-2.5,45.5,"W, 31-24",Won,Over
2014,6,CAR,@CIN,7.0,44.0,"T, 37-37",Won,Over
2014,7,CAR,@GNB,6.5,49.0,"L, 17-38",Lost,Over
2014,8,CAR,SEA,6.0,45.0,"L, 9-13",Won,Under
2014,9,CAR,NOR,3.0,49.0,"L, 10-28",Lost,Under
2014,10,CAR,@PHI,7.0,48.5,"L, 21-45",Lost,Over
2014,11,CAR,ATL,1.5,47.0,"L, 17-19",Lost,Under
2014,12,CAR,@MIN,2.5,41.5,"L, 13-31",Lost,Over
2014,13,CAR,@NOR,9.0,50.5,"W, 41-10",Won,Over
2014,14,CAR,TAM,-3.0,41.0,"W, 19-17",Lost,Under
2014,15,CAR,CLE,-6.0,40.0,"W, 17-13",Lost,Under
2014,16,CAR,@ATL,3.0,48.0,"W, 34-3",Won,Under
2014,17,CAR,ARI,-6.5,37.5,"W, 27-16",Won,Over
2014,18,CAR,@SEA,11.5,39.5,"L, 17-31",Lost,Over
2014,1,CHI,BUF,-7.0,47.0,"L, 20-23",Lost,Under
2014,2,CHI,@SFO,7.0,47.5,"W, 28-20",Won,Over
2014,3,CHI,@NYJ,2.5,44.0,"W, 27-19",Won,Over
2014,4,CHI,GNB,1.5,51.5,"L, 17-38",Lost,Over
2014,5,CHI,@CAR,2.5,45.5,"L, 24-31",Lost,Over
2014,6,CHI,@ATL,3.5,55.5,"W, 27-13",Won,Under
2014,7,CHI,MIA,-3.0,47.5,"L, 14-27",Lost,Under
2014,8,CHI,@NWE,6.0,52.0,"L, 23-51",Lost,Over
2014,9,CHI,@GNB,9.5,54.0,"L, 14-55",Lost,Over
2014,10,CHI,MIN,-2.5,46.5,"W, 21-13",Won,Under
2014,11,CHI,TAM,-4.5,46.5,"W, 21-13",Won,Under
2014,12,CHI,@DET,7.0,46.5,"L, 17-34",Lost,Over
2014,13,CHI,DAL,4.0,50.5,"L, 28-41",Lost,Over
2014,14,CHI,NOR,3.0,53.5,"L, 15-31",Lost,Under
2014,15,CHI,DET,10.0,44.5,"L, 14-20",Won,Under
2014,16,CHI,@MIN,7.0,46.5,"L, 9-13",Won,Under
2014,1,CIN,@BAL,2.0,43.0,"W, 23-16",Won,Under
2014,2,CIN,ATL,-6.0,49.0,"W, 24-10",Won,Under
2014,3,CIN,TEN,-6.5,42.5,"W, 33-7",Won,Under
2014,4,CIN,@NWE,0.0,46.0,"L, 17-43",Lost,Over
2014,5,CIN,CAR,-7.0,44.0,"T, 37-37",Lost,Over
2014,6,CIN,@IND,3.5,50.5,"L, 0-27",Lost,Under
2014,7,CIN,BAL,3.0,44.5,"W, 27-24",Won,Over
2014,8,CIN,JAX,-10.0,44.0,"W, 33-23",Push,Over
2014,9,CIN,CLE,-6.5,46.0,"L, 3-24",Lost,Under
2014,10,CIN,@NOR,7.0,51.0,"W, 27-10",Won,Under
2014,11,CIN,@HOU,2.5,44.5,"W, 22-13",Won,Under
2014,12,CIN,@TAM,-6.0,43.5,"W, 14-13",Lost,Under
2014,13,CIN,PIT,-3.0,47.5,"L, 21-42",Lost,Over
2014,14,CIN,@CLE,1.0,44.0,"W, 30-0",Won,Under
